['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
15,2012-12/18,2012-12/18,5,True,2012-12/18,2,2012-12/18,fix for composite queries where the start key was being included on each...
1719216,2012-12/19,2012-12/19,47194,True,2012-12/19,3,2012-12/19,Release 1.6.5
187,2012-12/19,2012-12/19,172,True,2012-12/19,2,2012-12/19,Prevent race conditions when removing and application and auto-scaling it
1,2012-12/19,2012-12/19,0,True,2012-12/19,3,2012-12/19,Added high replication flag in python2.5 AppServer
73,2012-12/21,2012-12/21,64,False,,2,2012-12/21,Execute Python 2.7 Google App Engine apps
297,2012-12/23,2012-12/23,9702,False,,2,2012-12/23,Go support enabled
387,2012-12/24,2012-12/24,9708,True,2012-12/24,3,2012-12/24,"Matplotlib, Numpy, and bug fixes"
2,2012-12/24,2012-12/24,1,True,2012-12/24,2,2012-12/24,Fixes for blobstore and transactions as discovered through running appin...
295,2012-12/27,2012-12/27,108,True,2012-12/27,3,2012-12/27,Cleaning up some dead code and cleaning up TQ stub
46,2013-1/27,2012-12/27,40,True,2013-1/27,2,2012-12/27,AppController revives properly
13,2012-12/27,2012-12/27,7,True,2012-12/27,2,2012-12/27,Python unit test into Rake
1,2012-12/28,2012-12/28,0,True,2012-12/28,1,2012-12/28,ignoring .idea files produced by rubymine
6,2012-12/28,2012-12/28,1,True,2012-12/28,2,2012-12/28,Build ec2 image update
44,2013-1/29,2012-12/29,24,True,2013-1/29,2,2012-12/29,Use email address instead of session id to identify users
1,2013-1/31,2012-12/31,1,True,2013-1/31,2,2012-12/31,Explicitly stating not to build thrift with php support
3,2013-1/2,2013-1/2,3,True,2013-1/2,2,2013-1/2,Deleting cookies via the same IP they are set with
8,2013-1/2,2013-1/2,1001,True,2013-1/2,3,2013-1/2,Build without unsupported DBs
1,2013-1/3,2013-1/3,200,False,,2,2013-1/3,not building unsupported databases
25,2013-1/3,2013-1/3,1,True,2013-1/3,2,2013-1/3,Watchfile
164,2013-1/4,2013-1/4,6,True,2013-1/4,2,2013-1/4,Supporting the secure: never and secure: always Options in app.yaml
2,2013-1/5,2013-1/5,2,True,2013-1/5,2,2013-1/5,Removing Query Params When Redirecting from HTTPS to HTTP
15,2013-1/7,2013-1/7,2,True,2013-1/7,2,2013-1/7,using getOrCreateSubMap method to avoid nullpointer error
26,2013-2/7,2013-1/7,3,False,,2,2013-1/7,Install pycrypto and lxml
1377,2013-1/7,2013-1/7,409,True,2013-1/7,2,2013-1/7,Transaction Support
63,2013-1/8,2013-1/8,44,True,2013-1/8,2,2013-1/8,Fixing a bug related to securing the default '/' location
46,2013-1/8,2013-1/8,16,True,2013-1/8,2,2013-1/8,Bulkloader support fix getting more entities than the specified batch size
26,2013-1/9,2013-1/9,32,True,2013-1/9,2,2013-1/9,Retry logic for taskqueue and removed latency annotations
15,2013-1/9,2013-1/9,13,True,2013-1/9,2,2013-1/9,Obscure EC2 creds
102,2013-1/9,2013-1/9,457,True,2013-1/9,3,2013-1/9,"Nginx upgrade, removed some unused build files, updated a print statement"
1,2013-1/10,2013-1/10,1,True,2013-1/10,2,2013-1/10,correctly not writing full proxy app config on one node deployment
112,2013-1/10,2013-1/10,64,True,2013-1/10,2,2013-1/10,Start services in parallel
30,2013-1/11,2013-1/11,16,True,2013-1/11,2,2013-1/11,Removed python test script and move it to rake. Fixed import issue with ...
80,2013-1/14,2013-1/14,60,True,2013-1/14,2,2013-1/14,Hbase & hypertable fix
3,2013-1/14,2013-1/14,5,True,2013-1/14,2,2013-1/14,Fix for kind queries and their cursors
3,2013-1/14,2013-1/14,7,True,2013-1/14,2,2013-1/14,Remove latency from memcache
13,2013-1/15,2013-1/15,6,True,2013-1/15,2,2013-1/15,Adding start key for java for query cursors
6,2013-1/15,2013-1/15,1,True,2013-1/15,2,2013-1/15,Fix for nginx on a multinode with reload missing pid issue
0,2013-1/16,2013-1/16,4,True,2013-1/16,2,2013-1/16,"Not requiring user to be logged in as admin to send mail, breaks apps"
0,2013-1/16,2013-1/16,65892,True,2013-1/16,2,2013-1/16,Removed Python and Ruby CCT code
12,2013-1/16,2013-1/16,160,True,2013-1/16,2,2013-1/16,updated license files and removed unnecessary duplicate license files
54,2013-1/16,2013-1/16,27,True,2013-1/16,2,2013-1/16,"bumped version number to 1.6.6, and updated license again"
56,2013-7/17,2013-1/17,45,True,2013-7/17,3,2013-1/17,Possible solution to nodes dying prematurely
4452,2013-1/18,2013-1/18,78923,True,2013-1/18,3,2013-1/18,Merged changes from 1.6.5 to 1.6.6
40,2013-1/18,2013-1/18,33,True,2013-1/18,3,2013-1/18,Lock around god when starting processes
3,2013-1/19,2013-1/19,1,True,2013-1/19,2,2013-1/19,Fix for hbase classpath issue
6,2013-1/22,2013-1/22,6,True,2013-1/22,2,2013-1/22,Upgrade to pika 0.9.9p0
0,2013-1/22,2013-1/22,11,True,2013-1/22,2,2013-1/22,Not copying over datanucleus jars because we don't modify them
6,2013-1/23,2013-1/23,4,False,,1,2013-1/23,Removed god from starting ejabberd
9,2013-1/23,2013-1/23,1,True,2013-1/23,2,2013-1/23,Adding encoding to memcache keys to allow special characters
91,2013-1/23,2013-1/23,30,True,2013-1/23,2,2013-1/23,"Better handling of RabbitMQ failures, better retry logic of erlang processes."
21,2013-1/24,2013-1/24,10,True,2013-1/24,2,2013-1/24,Encoding memcache keys because sdk allows special characters
34,2013-1/24,2013-1/24,1,True,2013-1/24,2,2013-1/24,Fix for kind queries where we set the __key__
9,2013-2/25,2013-1/25,0,False,,3,2013-1/25,Adding celery install process into AppScale
35,2013-3/26,2013-1/26,12,True,2013-3/26,3,2013-1/26,TaskQueue server
33,2013-1/29,2013-1/29,7,True,2013-1/29,2,2013-1/29,Distributed memcache fixes
3,2013-1/30,2013-1/30,0,True,2013-1/30,3,2013-1/30,"If a user tries to hit an https port with http, redirect them to the sam..."
32,2013-2/31,2013-1/31,23,True,2013-2/31,2,2013-1/31,AppController SOAP functions return JSON
3,2013-2/1,2013-2/1,1,True,2013-2/1,2,2013-2/1,Terminate script kills RabbitMQ / Ejabberd
1,2013-2/5,2013-2/5,1,True,2013-2/5,2,2013-2/5,Making nginx locations for secure/nonsecure URLs use regular expressions...
0,2013-2/7,2013-2/7,23,True,2013-2/7,2,2013-2/7,removed jenkins build script
16,2013-2/11,2013-2/11,6,True,2013-2/11,2,2013-2/11,bumped version number to 1.6.7
15,2013-2/12,2013-2/12,5,True,2013-2/12,1,2013-2/12,Fixed broken unit tests
267,2013-2/13,2013-2/13,127,True,2013-2/13,4,2013-2/13,Release 1.6.7
18,2013-2/14,2013-2/14,7,True,2013-2/14,2,2013-2/14,Retry when starting other AppControllers
12,2013-2/14,2013-2/14,71,True,2013-2/14,2,2013-2/14,Appcontroller not using iaas tools
2,2013-2/14,2013-2/14,0,True,2013-2/14,3,2013-2/14,Nginx test fix
27,2013-2/15,2013-2/15,74,True,2013-2/15,2,2013-2/15,Timeout on RabbitMQ startup
4,2013-2/18,2013-2/18,1,True,2013-2/18,1,2013-2/18,more logging on ip mapping
0,2013-2/18,2013-2/18,6,True,2013-2/18,1,2013-2/18,Removed unnecessary AppManager test
27,2013-2/19,2013-2/19,8,True,2013-2/19,2,2013-2/19,Whitelist disabled
1,2013-2/19,2013-2/19,1,True,2013-2/19,2,2013-2/19,Fixed XMPP in Python 2.7
524,2013-2/21,2013-2/21,73,True,2013-2/21,1,2013-2/21,New status page
73,2013-2/21,2013-2/21,524,True,2013-2/21,1,2013-2/21,Fixes for status page
2,2013-2/25,2013-2/25,1,True,2013-2/25,2,2013-2/25,Fixed deferred auth problem
232,2013-2/25,2013-2/25,65,True,2013-2/25,2,2013-2/25,Xmemcached changes
476,2013-2/27,2013-2/27,546,False,,3,2013-2/27,New UI for browser management of AppScale
213,2013-3/28,2013-2/28,70,True,2013-3/28,3,2013-2/28,Fixes for complex deployment strategy
4546,2013-3/28,2013-2/28,3817,True,2013-3/28,2,2013-2/28,Tqserver2
382,2013-3/1,2013-3/1,105,True,2013-3/1,2,2013-3/1,Fixed XMPP in EC2
5,2013-3/4,2013-3/4,1,True,2013-3/4,2,2013-3/4,Query count fix
1,2013-3/5,2013-3/5,1,True,2013-3/5,1,2013-3/5,made unused variable an anonymous var
1554,2013-3/5,2013-3/5,0,True,2013-3/5,1,2013-3/5,added initial coverage for xmpp receiver
133001,2013-3/5,2013-3/5,854,True,2013-3/5,2,2013-3/5,Updated AppScale UI
2032,2013-3/5,2013-3/5,0,True,2013-3/5,2,2013-3/5,Bootstrap.js edit
42,2013-3/6,2013-3/6,14,True,2013-3/6,3,2013-3/6,Changed favicon path
1,2013-3/6,2013-3/6,0,True,2013-3/6,2,2013-3/6,Open firewall for XMPP
225,2013-3/6,2013-3/6,62,True,2013-3/6,2,2013-3/6,Kind ordered ancestor queries
219,2013-3/6,2013-3/6,46,True,2013-3/6,2,2013-3/6,Java tq
2,2013-3/7,2013-3/7,1,True,2013-3/7,2,2013-3/7,Fixed unit test check
25,2013-3/7,2013-3/7,9,True,2013-3/7,2,2013-3/7,bumped version number to 1.6.8
2,2013-3/8,2013-3/8,0,True,2013-3/8,1,2013-3/8,Fixed broken unit tests
139,2013-3/8,2013-3/8,44,True,2013-3/8,2,2013-3/8,Spot instance support
0,2013-3/11,2013-3/11,2,True,2013-3/11,2,2013-3/11,not printing out unfiltered credentials
48,2013-3/11,2013-3/11,64,True,2013-3/11,2,2013-3/11,"CSS formatting fixes, minor tweaks to app"
2,2013-3/11,2013-3/11,0,True,2013-3/11,2,2013-3/11,Fixed invalid cookie check
2,2013-3/11,2013-3/11,0,True,2013-3/11,2,2013-3/11,turn off the firewall when we terminate appscale
3,2013-3/11,2013-3/11,7,True,2013-3/11,2,2013-3/11,Removed check for transactional task
5,2013-3/11,2013-3/11,1,True,2013-3/11,2,2013-3/11,Updated release date / feature list
5,2013-3/12,2013-3/12,4,True,2013-3/12,1,2013-3/12,Having the ejabberd authentication script connect to the userappserver
35,2013-3/12,2013-3/12,22,True,2013-3/12,2,2013-3/12,only scaling apps down if they are currently hosted
142524,2013-3/13,2013-3/13,5104,True,2013-3/13,3,2013-3/13,Merging 1.6.8 into master
16,2013-3/14,2013-3/14,7,True,2013-3/14,2,2013-3/14,Set the number of datastore servers to the number of processors
141,2013-3/14,2013-3/14,3,True,2013-3/14,2,2013-3/14,Channel API fix
6,2013-3/15,2013-3/15,4,True,2013-3/15,2,2013-3/15,fix for 0 result query
1579,2013-3/15,2013-3/15,549,True,2013-3/15,2,2013-3/15,Cross group transaction support
33,2013-3/18,2013-3/18,44,True,2013-3/18,2,2013-3/18,Changed location we grab build files from to be s3 instead of ucsb
410,2013-3/19,2013-3/19,215,True,2013-3/19,2,2013-3/19,Memcache incr cas
37,2013-3/20,2013-3/20,35,True,2013-3/20,2,2013-3/20,Memcache incr cas
14,2013-3/20,2013-3/20,2,True,2013-3/20,2,2013-3/20,Ntp fix
1,2013-3/20,2013-3/20,0,True,2013-3/20,2,2013-3/20,removing tmp file
19,2013-3/21,2013-3/21,1,True,2013-3/21,2,2013-3/21,having god monitor haproxy in a similar way as for ejabberd
7,2013-3/21,2013-3/21,3,True,2013-3/21,2,2013-3/21,Instead of always starting the xmpp receiver for java apps
195,2013-3/22,2013-3/22,39,True,2013-3/22,2,2013-3/22,Transactional task implementation for python and fixes to rollback
143,2013-3/25,2013-3/25,18,True,2013-3/25,2,2013-3/25,Set environment variables for App Engine apps
2613,2013-4/25,2013-3/25,25035,True,2013-4/25,3,2013-3/25,Convert apploadbalancer to python
31,2013-3/25,2013-3/25,11,True,2013-3/25,2,2013-3/25,Changed print statements to use logging
688,2013-4/25,2013-3/25,168,True,2013-4/25,2,2013-3/25,Initial files for datastore groomer
41,2013-3/26,2013-3/26,10,True,2013-3/26,3,2013-3/26,Fixed continue URL rebranding
1,2013-4/26,2013-3/26,0,True,2013-4/26,2,2013-3/26,adding dist-packages to appengine path so that we can use pycrypto
30,2013-3/26,2013-3/26,12,True,2013-3/26,2,2013-3/26,changed acquire_lock to work across entity groups
10,2013-3/26,2013-3/26,3,True,2013-3/26,2,2013-3/26,Fixed how we get appid for acquire lock
6,2013-3/26,2013-3/26,1,True,2013-3/26,2,2013-3/26,fixed broken unit test
5,2013-3/26,2013-3/26,2,True,2013-3/26,2,2013-3/26,fix for deletes and gets
15,2013-3/27,2013-3/27,2,True,2013-3/27,2,2013-3/27,Fix exception toss to be passed up to the application
3,2013-3/27,2013-3/27,1,True,2013-3/27,2,2013-3/27,"quoting app key in channel api, in case the user gives us a key with an @ in it"
7,2013-3/27,2013-3/27,5,True,2013-3/27,2,2013-3/27,removing xmpp receiver from god watch so that it doesn't revive when we kill it
385,2013-3/27,2013-3/27,0,True,2013-3/27,3,2013-3/27,Java xmpp
9,2013-3/28,2013-3/28,8,True,2013-3/28,2,2013-3/28,Renamed xmpp receiver watch name 
7,2013-3/28,2013-3/28,4,True,2013-3/28,2,2013-3/28,Starting AppMonitoring correctly in EC2
4,2013-3/28,2013-3/28,1,True,2013-3/28,2,2013-3/28,changed terminate script to not kill itself
12,2013-3/28,2013-3/28,3,True,2013-3/28,2,2013-3/28,Making sure our ntp cron job isn't wiped out by the app controller
323,2013-3/29,2013-3/29,73,True,2013-3/29,2,2013-3/29,Zk exceptions handling
66,2013-3/29,2013-3/29,14,True,2013-3/29,2,2013-3/29,Creating XMPP client on sendMessage call because using it as a class var...
55,2013-4/1,2013-4/1,65,True,2013-4/1,2,2013-4/1,Removed time out signal from gc thread functions
7,2013-4/2,2013-4/2,2,True,2013-4/2,2,2013-4/2,removed timer on is_xg function
6,2013-4/2,2013-4/2,6,True,2013-4/2,2,2013-4/2,removed timer on force create path function
28,2013-4/2,2013-4/2,6,True,2013-4/2,2,2013-4/2,bumped version number
11,2013-4/3,2013-4/3,5,True,2013-4/3,2,2013-4/3,Catching NoNodeException
3595,2013-4/3,2013-4/3,997,True,2013-4/3,3,2013-4/3,bumped version number to 1.6.9
1,2013-4/7,2013-4/7,0,True,2013-4/7,2,2013-4/7,adding lxml to dev_appserver path
1,2013-4/8,2013-4/8,1,True,2013-4/8,2,2013-4/8,TQ slave for rabbitmq to try 1k times.
6,2013-4/8,2013-4/8,6,True,2013-4/8,2,2013-4/8,Having cron not go through the apploadbalancer
10,2013-4/8,2013-4/8,9,True,2013-4/8,3,2013-4/8,Fixing install scripts for numpy and matplotlib
2,2013-4/9,2013-4/9,1,True,2013-4/9,2,2013-4/9,Enabling cron requests on admin-only routes
135,2013-4/9,2013-4/9,135,True,2013-4/9,2,2013-4/9,Using shorter S3 bucket name
1,2013-4/9,2013-4/9,1,True,2013-4/9,2,2013-4/9,fix for the change from README -> README.md
358,2013-4/9,2013-4/9,147,True,2013-4/9,2,2013-4/9,Restart App Engine apps in place
1,2013-4/10,2013-4/10,1,True,2013-4/10,2,2013-4/10,Fix appscale down not kill appscale-tools
4,2013-4/10,2013-4/10,4,True,2013-4/10,2,2013-4/10,"If hashes don't match, don't allow admin rights"
1,2013-4/11,2013-4/11,1,True,2013-4/11,2,2013-4/11,Moved dist-packages up in os.path 
330,2013-4/12,2013-4/12,445,True,2013-4/12,2,2013-4/12,Using Kazoo for ZooKeeper interactions
1560,2013-4/15,2013-4/15,929,True,2013-4/15,2,2013-4/15,Fixes broken build script for numpy/matplotlib
2,2013-4/15,2013-4/15,1,True,2013-4/15,2,2013-4/15,Static Files moved from AppLoadBalancer to AppDashboard and AppMonitor
157,2013-4/15,2013-4/15,12,False,,2,2013-4/15,Groomer conversion of soft deletes to hard deletes
278,2013-4/16,2013-4/16,11,True,2013-4/16,2,2013-4/16,Adding channel support for java
9141,2013-4/17,2013-4/17,0,True,2013-4/17,2,2013-4/17,adding js file
18,2013-4/18,2013-4/18,10,True,2013-4/18,1,2013-4/18,refactored node creation to use run_with_timeout
10,2013-4/18,2013-4/18,18,True,2013-4/18,1,2013-4/18,reverted creating nodes for groomer
514,2013-5/18,2013-4/18,438,True,2013-5/18,2,2013-4/18,Using kazoo.retry.Retry
27,2013-4/19,2013-4/19,1,True,2013-4/19,2,2013-4/19,Java mail
157,2013-4/19,2013-4/19,12,True,2013-4/19,2,2013-4/19,hard deletes on tombstones
3,2013-4/22,2013-4/22,2,True,2013-4/22,2,2013-4/22,Reloading HAProxy instead of restarting so connections aren't reset
11,2013-4/22,2013-4/22,3,True,2013-4/22,2,2013-4/22,Using 5 minute time out for app load balancer for large app upload
12,2013-4/22,2013-4/22,4,True,2013-4/22,2,2013-4/22,Changing max size to 1G for ALB
3834,2013-4/23,2013-4/23,25013,True,2013-4/23,2,2013-4/23,AppDashboard with db and tq
83,2013-4/23,2013-4/23,1,True,2013-4/23,2,2013-4/23,Removing runtime checks for classpath violations
5826,2013-4/24,2013-4/24,41353,True,2013-4/24,3,2013-4/24,Admin console v1
3995,2013-4/24,2013-4/24,25065,True,2013-4/24,3,2013-4/24,Dashboard graphs
1,2013-4/25,2013-4/25,0,True,2013-4/25,2,2013-4/25,Getting rid of annoying update your sdk message
1,2013-4/26,2013-4/26,1,True,2013-4/26,2,2013-4/26,"bumped version number of lxml we use in the dev_appserver, as it has cha..."
114,2013-4/26,2013-4/26,4,True,2013-4/26,3,2013-4/26,changing ha_proxy max connections to allow multithreading for thread-saf...
1,2013-4/29,2013-4/29,1,True,2013-4/29,2,2013-4/29,"only starting appdashboard on login node, instead of on every node"
10,2013-4/29,2013-4/29,805,True,2013-4/29,2,2013-4/29,"removed unused javascript, and updating gauges whenever we have new info for them"
1,2013-4/29,2013-4/29,47,True,2013-4/29,2,2013-4/29,fixed incorrect import
4,2013-4/30,2013-4/30,3,True,2013-4/30,2,2013-4/30,Replaced version-specific imports with glob
1,2013-4/30,2013-4/30,1,True,2013-4/30,2,2013-4/30,Changes DIST= to export DIST= so the value is carried over
30,2013-4/30,2013-4/30,25,True,2013-4/30,3,2013-4/30,Easier mirroring.
108,2013-5/30,2013-4/30,58,True,2013-5/30,2,2013-4/30,Using private IP when waiting for Dashboard ports to open
0,2013-4/30,2013-4/30,0,True,2013-4/30,2,2013-4/30,Updating smack jar so that it doesn't use lowercase when trying to login...
26,2013-4/30,2013-4/30,28,True,2013-4/30,2,2013-4/30,Now passing in the port that the app engine app runs on to the xmppreceiver
42,2013-5/1,2013-5/1,137,True,2013-5/1,2,2013-5/1,Admin console v1
165,2013-5/1,2013-5/1,255,True,2013-5/1,2,2013-5/1,Prefix fix for transactions
30,2013-5/1,2013-5/1,3,True,2013-5/1,2,2013-5/1,only calling gsub on string values
0,2013-5/1,2013-5/1,9,True,2013-5/1,2,2013-5/1,"fixed issue where it was not correctly removing duplicates, and also cle..."
6,2013-5/1,2013-5/1,4,True,2013-5/1,2,2013-5/1,Added div back in for app names to get updated
2946,2013-5/2,2013-5/2,80,True,2013-5/2,3,2013-5/2,Admin console v1
